id,x,y
0,113.0,274.0
1,210.0,254.0
2,282.0,124.0
3,409.0,82.0
4,537.0,38.0
5,670.0,139.0
6,656.0,342.0
7,555.0,263.0
8,323.0,363.0
9,423.0,427.0
10,596.0,484.0
